date,step,,,,,
1/8/20 18:30,10,,,,,
1/8/20 18:30,10,,,,,
1/8/20 18:30,10,,,,,
1/8/20 18:30,11,,,,,
1/8/20 18:30,10,,,,,
1/8/20 18:30,10,,,,,
1/8/20 18:30,10,,,,,
1/8/20 18:30,11,,,,,
1/8/20 18:33,45,,,,,
1/8/20 18:34,16,,,,,
1/8/20 18:34,11,,,,,
1/8/20 18:34,10,,,,,
1/8/20 18:34,1,,,,,
1/8/20 19:18,72,,,,,
1/8/20 20:23,69,,,,,
1/8/20 20:33,2,,,,,
1/8/20 20:42,29,,,,,
1/8/20 20:50,57,,,,,
1/8/20 21:01,67,,,,,
1/8/20 21:01,4,,,,,
1/8/20 21:01,1,,,,,
1/8/20 21:17,62,,,,,
1/8/20 21:45,149,,,,,
1/8/20 22:06,32,,,,,
1/8/20 22:36,15,,,,,
1/8/20 22:48,11,,,,,
1/9/20 9:18,10,,,,,
1/9/20 9:43,14,,,,,
1/9/20 9:43,19,,,,,
1/9/20 9:43,7,,,,,
1/9/20 9:43,4,,,,,
1/9/20 9:43,6,,,,,
1/9/20 9:44,2,,,,,
1/9/20 9:44,20,,,,,
1/9/20 9:44,13,,,,,
1/9/20 9:44,6,,,,,
1/9/20 9:47,8,,,,,
1/9/20 9:47,16,,,,,
1/9/20 9:47,10,,,,,
1/9/20 9:47,3,,,,,
1/9/20 10:08,256,,,,,
1/9/20 10:18,181,,,,,
1/9/20 10:26,217,,,,,
1/9/20 10:37,72,,,,,
1/9/20 10:42,94,,,,,
1/9/20 10:50,13,,,,,
1/9/20 10:50,3,,,,,
1/9/20 10:51,19,,,,,
1/9/20 10:51,9,,,,,
1/9/20 10:51,7,,,,,
1/9/20 10:51,11,,,,,
1/9/20 10:51,2,,,,,
1/9/20 10:53,21,,,,,
1/9/20 10:53,10,,,,,
1/9/20 10:53,10,,,,,
1/9/20 10:53,10,,,,,
1/9/20 10:53,5,,,,,
1/9/20 10:53,7,,,,,
1/9/20 10:53,1,,,,,
1/9/20 11:32,8,,,,,
1/9/20 11:33,12,,,,,
1/9/20 11:33,4,,,,,
1/9/20 13:27,443,,,,,
1/9/20 13:30,26,,,,,
1/9/20 13:54,148,,,,,
1/9/20 13:56,220,,,,,
1/9/20 13:56,6,,,,,
1/9/20 13:56,30,,,,,
1/9/20 13:57,38,,,,,
1/9/20 14:07,695,,,,,
1/9/20 14:07,2,,,,,
1/9/20 14:07,8,,,,,
1/9/20 14:07,4,,,,,
1/9/20 14:46,372,,,,,
1/9/20 14:55,488,,,,,
1/9/20 15:03,97,,,,,
1/9/20 15:35,19,,,,,
1/9/20 15:35,10,,,,,
1/9/20 15:35,1,,,,,
1/9/20 15:37,19,,,,,
1/9/20 15:37,7,,,,,
1/9/20 15:37,6,,,,,
1/9/20 15:37,2,,,,,
1/9/20 15:42,77,,,,,
1/9/20 15:56,354,,,,,
1/9/20 16:04,165,,,,,
1/9/20 16:12,579,,,,,
1/9/20 16:17,378,,,,,
1/9/20 16:35,273,,,,,
1/9/20 16:58,574,,,,,
1/9/20 18:10,116,,,,,
1/9/20 18:20,14,,,,,
1/9/20 19:06,5,,,,,
1/9/20 19:13,23,,,,,
1/9/20 19:28,9,,,,,
1/9/20 19:30,8,,,,,
1/9/20 19:30,1,,,,,
1/9/20 19:31,8,,,,,
1/9/20 19:33,8,,,,,
1/9/20 20:42,479,,,,,
1/9/20 20:52,46,,,,,
1/9/20 21:32,398,,,,,
1/9/20 21:32,9,,,,,
1/9/20 21:32,9,,,,,
1/9/20 21:32,9,,,,,
1/9/20 21:32,9,,,,,
1/9/20 21:32,9,,,,,
1/9/20 21:32,9,,,,,
1/9/20 21:33,9,,,,,
1/9/20 21:33,9,,,,,
1/9/20 21:33,6,,,,,
1/9/20 21:33,3,,,,,
1/9/20 21:34,13,,,,,
1/9/20 21:34,10,,,,,
1/9/20 21:34,10,,,,,
1/9/20 21:34,8,,,,,
1/9/20 21:34,11,,,,,
1/9/20 21:34,1,,,,,
1/10/20 0:31,27,,,,,
1/10/20 0:47,30,,,,,
1/10/20 1:28,20,,,,,
1/10/20 2:24,9,,,,,
1/10/20 11:02,16,,,,,
1/10/20 11:05,14,,,,,
1/10/20 11:05,4,,,,,
1/10/20 11:05,5,,,,,
1/10/20 11:05,4,,,,,
1/10/20 11:30,8,,,,,
1/10/20 12:10,388,,,,,
1/10/20 12:16,88,,,,,
1/10/20 12:26,8,,,,,
1/10/20 12:26,8,,,,,
1/10/20 12:26,6,,,,,
1/10/20 12:39,443,,,,,
1/10/20 15:00,4,,,,,
1/10/20 15:02,10,,,,,
1/10/20 15:02,9,,,,,
1/10/20 15:02,10,,,,,
1/10/20 15:02,7,,,,,
1/10/20 15:02,5,,,,,
1/10/20 15:02,21,,,,,
1/10/20 15:02,10,,,,,
1/10/20 15:03,10,,,,,
1/10/20 15:03,10,,,,,
1/10/20 15:03,8,,,,,
1/10/20 15:03,13,,,,,
1/10/20 15:03,9,,,,,
1/10/20 15:03,10,,,,,
1/10/20 15:03,10,,,,,
1/10/20 15:03,2,,,,,
1/10/20 15:04,20,,,,,
1/10/20 15:05,9,,,,,
1/10/20 15:05,8,,,,,
1/10/20 15:05,8,,,,,
1/10/20 15:05,10,,,,,
1/10/20 15:05,9,,,,,
1/10/20 15:05,9,,,,,
1/10/20 15:05,10,,,,,
1/10/20 15:05,9,,,,,
1/10/20 15:05,10,,,,,
1/10/20 15:05,10,,,,,
1/10/20 15:05,10,,,,,
1/10/20 15:05,10,,,,,
1/10/20 15:06,10,,,,,
1/10/20 15:06,10,,,,,
1/10/20 15:06,9,,,,,
1/10/20 15:06,11,,,,,
1/10/20 15:06,10,,,,,
1/10/20 15:06,10,,,,,
1/10/20 15:06,9,,,,,
1/10/20 15:06,10,,,,,
1/10/20 15:06,10,,,,,
1/10/20 15:06,10,,,,,
1/10/20 15:06,11,,,,,
1/10/20 15:06,11,,,,,
1/10/20 15:07,10,,,,,
1/10/20 15:07,10,,,,,
1/10/20 15:07,11,,,,,
1/10/20 15:07,11,,,,,
1/10/20 15:07,10,,,,,
1/10/20 15:07,11,,,,,
1/10/20 15:07,11,,,,,
1/10/20 15:07,10,,,,,
1/10/20 15:07,11,,,,,
1/10/20 15:07,10,,,,,
1/10/20 15:07,10,,,,,
1/10/20 15:08,10,,,,,
1/10/20 15:08,10,,,,,
1/10/20 15:08,11,,,,,
1/10/20 15:08,11,,,,,
1/10/20 15:08,10,,,,,
1/10/20 15:08,11,,,,,
1/10/20 15:08,10,,,,,
1/10/20 15:08,11,,,,,
1/10/20 15:08,10,,,,,
1/10/20 15:08,11,,,,,
1/10/20 15:08,10,,,,,
1/10/20 15:08,10,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:09,11,,,,,
1/10/20 15:09,11,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:09,11,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:09,11,,,,,
1/10/20 15:09,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,9,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,9,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:10,10,,,,,
1/10/20 15:11,10,,,,,
1/10/20 15:11,10,,,,,
1/10/20 15:11,14,,,,,
1/10/20 15:11,14,,,,,
1/10/20 15:11,10,,,,,
1/10/20 15:11,11,,,,,
1/10/20 15:11,11,,,,,
1/10/20 15:11,10,,,,,
1/10/20 15:11,11,,,,,
1/10/20 15:11,11,,,,,
1/10/20 15:11,11,,,,,
1/10/20 15:12,10,,,,,
1/10/20 15:12,11,,,,,
1/10/20 15:12,11,,,,,
1/10/20 15:12,10,,,,,
1/10/20 15:12,10,,,,,
1/10/20 15:12,11,,,,,
1/10/20 15:12,10,,,,,
1/10/20 15:12,11,,,,,
1/10/20 15:12,9,,,,,
1/10/20 15:12,10,,,,,
1/10/20 15:12,8,,,,,
1/10/20 15:12,10,,,,,
1/10/20 15:13,7,,,,,
1/10/20 15:13,10,,,,,
